CardID	CardName	Story
2024010107	张楚	“我真的是你们的楚楚baby……”
2024020107	张楚	“我真的是你们的楚楚baby……”
2024010108	张宁	当初谎言有多香，现在打雷有多慌。
2024020108	张宁	当初谎言有多香，现在打雷有多慌。
2024010109	张宝	世界是一个巨大的张宝，而我，是张宝本人。
2024020109	张宝	世界是一个巨大的张宝，而我，是张宝本人。
2024010110	张曼成	若得此将，何惧神马、张飞之流！
2024020110	张曼成	若得此将，何惧神马、张飞之流！
2024010111	于毒	替黄天行道，打家劫舍、劫富济贫。
2024020111	于毒	替黄天行道，打家劫舍、劫富济贫。
2024010112	卜巳	哥们最见不得人间烟火气。
2024020112	卜巳	哥们最见不得人间烟火气。
2024010113	管亥	亥哥、亥哥，你真了不得！
2024020113	管亥	亥哥、亥哥，你真了不得！
2024010114	裴元绍	裴元绍啊裴元绍，你说你惹赵子龙干嘛？
2024020114	裴元绍	裴元绍啊裴元绍，你说你惹赵子龙干嘛？
2024010115	张闿	见钱眼开，谋财害命。
2024020115	张闿	见钱眼开，谋财害命。
2024010116	张燕	小燕子，穿黄衣，年年春天抢这里。
2024020116	张燕	小燕子，穿黄衣，年年春天抢这里。
2024010117	刘辟	“玄德，你要地盘不要？321，上链接！”
2024020117	刘辟	“玄德，你要地盘不要？321，上链接！”
2024010118	张梁	身为体术教练，还兼职数学老师。
2024020118	张梁	身为体术教练，还兼职数学老师。
2024010119	何曼	会拖刀的不一定是关公，也可能是曹洪。
2024020119	何曼	会拖刀的不一定是关公，也可能是曹洪。
2024010120	严政	兄弟和我心连心，我跟兄弟玩脑筋。
2024020120	严政	兄弟和我心连心，我跟兄弟玩脑筋。
2024010121	白绕	黑山绕不饶，只有我知道。
2024020121	白绕	黑山绕不饶，只有我知道。
2024010122	程远志	“好你个关羽，差点给我盔甲干开线！”
2024020122	程远志	“好你个关羽，差点给我盔甲干开线！”
2024010123	眭固	小兔子乖乖，把门开开。
2024020123	眭固	小兔子乖乖，把门开开。
2024010124	波才	森林防火，防患于未燃！
2024020124	波才	森林防火，防患于未燃！
2024010125	邓茂	“翼德师傅，你以前是做什么工作的？”
2024020125	邓茂	“翼德师傅，你以前是做什么工作的？”
2024010126	黄巾兵	“星星之火，可以燎原。”
2024020126	黄巾兵	“星星之火，可以燎原。”
2024010127	许褚	"职位：铜雀台保镖
要求：斗得过马超"
2024020127	许褚	"职位：铜雀台保镖
要求：斗得过马超"
2024010128	司马懿	“我跟诸葛亮五五开吧，我也经常单杀他的。”
2024020128	司马懿	“我跟诸葛亮五五开吧，我也经常单杀他的。”
2024010129	曹金玉	我州但有断头将军......不对，重来！
2024020129	曹金玉	我州但有断头将军......不对，重来！
2024010130	曹仁	“仁以亲旧肺腑，贵重于时，左右勋业，咸有效劳。”
2024020130	曹仁	“仁以亲旧肺腑，贵重于时，左右勋业，咸有效劳。”
2024010131	李典	总之呢，我一个人出力，大家都有的吃。
2024020131	李典	总之呢，我一个人出力，大家都有的吃。
2024010132	郭嘉	这天下没什么好的，也就酒还行。
2024020132	郭嘉	这天下没什么好的，也就酒还行。
2024010133	夏侯渊	上路1V1男人大战，叫队友来干嘛？
2024020133	夏侯渊	上路1V1男人大战，叫队友来干嘛？
2024010134	于禁	求问如何游泳，急！在线等！
2024020134	于禁	求问如何游泳，急！在线等！
2024010135	典韦	古之恶来，就算没了武器和性命，也要守住忠义和曹老板。
2024020135	典韦	古之恶来，就算没了武器和性命，也要守住忠义和曹老板。
2024010136	邓艾	出身寒微，不是耻辱。能屈能伸，方为丈夫。
2024020136	邓艾	出身寒微，不是耻辱。能屈能伸，方为丈夫。
2024010137	曹昂	“老爹，我不怪你......”
2024020137	曹昂	“老爹，我不怪你......”
2024010138	荀彧	秉忠贞之志，守谦退之节。
2024020138	荀彧	秉忠贞之志，守谦退之节。
2024010139	曹休	头发可以再长出来，但良心不会。
2024020139	曹休	头发可以再长出来，但良心不会。
2024010140	荀攸	外愚内智，外怯内勇，外弱内强。
2024020140	荀攸	外愚内智，外怯内勇，外弱内强。
2024010141	乐进	那年合淝，逍遥津外，站着如喽啰。
2024020141	乐进	那年合淝，逍遥津外，站着如喽啰。
2024010142	丁尚涴	女子本弱，为母则刚，以后不要再联系了。
2024020142	丁尚涴	女子本弱，为母则刚，以后不要再联系了。
2024010143	曹洪	三国葛朗台。
2024020143	曹洪	三国葛朗台。
2024010144	诸葛诞	“为诸葛公死，不恨！”
2024020144	诸葛诞	“为诸葛公死，不恨！”
2024010145	夏侯惇	鼠辈，竟敢伤我！
2024020145	夏侯惇	鼠辈，竟敢伤我！
2024010146	近卫	我是抵御寒冷的烈焰，破晓时分的光线，唤醒丞相的号角，守护大魏的坚盾。
2024020146	近卫	我是抵御寒冷的烈焰，破晓时分的光线，唤醒丞相的号角，守护大魏的坚盾。
2024010147	皇甫嵩	某虽年迈，霜锋犹利。
2024020147	皇甫嵩	某虽年迈，霜锋犹利。
